source_type,session,model_test,source_page,source_question_number,status,difficulty,answer_source,correct_option,topic_tags,validation_issues,question_text,options_json
previous_year,,,7,59,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,ঘাস ফড়িং-এর উদরে কত জোড়া শ্বাসরস্ধ থাকে?,[]
previous_year,,,7,56,draft,easy,needs_review,,cell-biology|zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,হাইদ্রার কোন নেমাটোসিস্টে হিপনোটসক্সিন থাকে? 0১10 জোড়া ©) 08 জোড়া (এ) ভলভেন্ট efits (©) 6 cart @ 12 জোড়া (9 স্টেরিওযুটিন্যান্ট (৫) স্ট্রেপটোলিন PTs 60. রুই মাছের হৃৎপিগু কয় প্রকোষ্ঠ বিশিষ্ট?,[]
previous_year,,,7,57,draft,medium,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন পর্বের প্রাণীর স্লায়ুতত্্র মই-এর মত? ৬6 ০১5 (2) Annelid,"[{""label"":""a"",""text"":""(8) Nematods ©4 @3 © Lied © Chordata 61. শর্করা জাতীয় খাদোর শোষণ নিয়ন্ত্রণকারী হরমোন কোনটি?""}]"
previous_year,,,7,58,draft,medium,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন পর্বের প্রাণীতে 19গ419-লার্ভা দশা দেখা যায়? (৪) Ctenophor,"[{""label"":""a"",""text"":""(৬) Echinodermat""}]"
previous_year,,,8,63,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন উড়িদে ছিনিষেক দেখা যায়? 78. EE 1 সরলরেখাটি অক্ষয়ের সাথে যে ত্রিদুজ গঠন ক,"[{""label"":""a"",""text"":""Ginkgo""},{""label"":""b"",""text"":""Gnetum তার ক্ষেত্রফল কত বর্গ একক? (9) Ephedra (৫) yeas @5 ®6 ©15 @30""}]"
previous_year,,,8,65,draft,medium,needs_review,,botany|plant-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"আবৃতবীজী উড়িদের এন্ডোস্পার্ম কোন ধরনের? 80. y= 2x + 34 1 করুরেখার (0,1) Progr Ree ঢা (@) হ্যাপররেড (৬) ডিপ্লয়েড কত? © ims (4) Chars ~ _ i ৪6. কোন উদ্ভিদের সমস্ত RTS TAS থাকে? @= On 0; 03 © Riccia 0) Preris ০০০০ (04০০০",[]
previous_year,,,8,67,draft,easy,needs_review,,cell-biology|botany|taxonomy,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,হাইভাখোড দেখা যায় কোন উদ্ভিদে? 56. শ্রেণিবিন্যাসের মৌলিক ধাপ কয়টি? (4) আম-জাম © পেয়ারা-লিচ @s ৬? ©u ওযা (© জবা-ডালিম ও) কচুটমেটো 57. কোন প্রাণথীতে কোয়ানোসাইট নামক কোষ পাওয়া যায়?,[]
previous_year,,,8,0,draft,easy,needs_review,,cell-biology|botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,পাতায় OF ()ম্ুলে (GTA 58. FOSS কোষের তলদেশ হতে বের হয়ে ক্যাপসুলের সার,[]
previous_year,,,8,69,draft,easy,needs_review,,cell-biology|zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,22 বর্ণ ম্যাটরিজের a - [১11] | 1* || হলে নিচের সন প্যাঁচানো সুতার ন্যায় কে বলা হয়- এর]; 151 (@) নেমাটোসিস্ট (৬) নিজোসিল কোনটি সত্য? হ ৩) ন্যাসো (@ স্টেনোটিল @G 3) ৬0 DGD OC 2) | 59. ব্রিজ্জীপ্রাণীরকোনভণীয়অবস্থায়তিনটি কোষীয় fom,[]
previous_year,,,8,74,draft,easy,needs_review,,genetics|zoology|human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"কোন বিন্দুতে BIS ? ও 258 মানের দুইটি বলের লন্ধি | এ) আযামাইনো এসিড 0) ট্রিপসিন 20N, TP বলের দিকের সাথে সমকোণ উৎপন্ন করে। P- এর (© আ্যাষাইনোট্রিপসিন @ crm মানকত? 64. কোন মাছের দেহত্বকে প্লাকয়েড আঁইশ থাকে? (৪) 10 (8) 20N ৩) 25N (0) 1510 (®) dnabus 0) Latimaria _ a এবং . (©) Labeo (4) Scoliodon Te ""1 ET HB | 65, রুইমাছের হথলিশকে oT: 5 ড় (৬) 0; যুক্ত/০০ মুক্ত রক্ত থাকে @0 ®3 ©1 @-3 ®) 0; রিক্ত/০০ যুক্ত রক্ত থাকে",[]
